GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.equipment.application,EquipmentService.EquipmentCostSummary,0,12,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.equipment.application,EquipmentService.MaintenanceAlert,0,18,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.equipment.application,EquipmentService,60,160,3,7,8,29,6,9,4,6
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController.CreateDailyLogRequest,24,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController.LaborEntry,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController.DailyLogResponse,50,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController,132,0,6,0,18,0,12,0,9,0
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController.OccurrenceEntry,9,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.dailylog.api,DailyLogController.EquipmentEntry,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.schedule.domain,ScheduleActivity,64,0,0,0,23,0,12,0,12,0
sinapipro-api,com.sinapipro.api.schedule.domain,ActivityDependency,27,0,0,0,10,0,6,0,6,0
sinapipro-api,com.sinapipro.api.punchlist.domain,PunchListItem,113,0,10,0,33,0,20,0,15,0
sinapipro-api,com.sinapipro.api.punchlist.domain,PunchListStatus,27,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.notification.domain,Notification,76,0,0,0,19,0,15,0,15,0
sinapipro-api,com.sinapipro.api,SinapiProApiApplication,8,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.sinapi.domain,Composition,11,43,0,0,2,13,2,6,2,6
sinapipro-api,com.sinapipro.api.sinapi.domain,MaterialPrice,10,27,0,0,3,10,3,5,3,5
